District,Indicator_3.7.2_adolescent_birth_rate_12_14,Indicator_3.7.2_adolescent_birth_rate_15_19,Indicator_5.b.1_phone_ownership,Indicator_7.1.1_electricity_access,Indicator_6.1.1_safe_water,Indicator_9.2.2_manufacturing_employment ,Indicator_7.1.2_clean_energy_prim,Indicator_8.7.1_child_labour,Indicator_17.8.1_internet_use,Indicator_8.5.2_unemployment_rate_disable,Indicator_6.2.1_safely_managed_sanitation
Kumasi Metropolitan Area (KMA),0.751879699,19.467878,21.52840217,96.4141355,99.81180985,7.444803774,61.10028997,0.457695674,89.85546125,7.891852393,71.15910797
Kwadaso Municipal,0,25.67094516,23.77334115,96.25088423,99.60558187,6.429268659,66.71668346,0.285145889,92.20105901,5.918057663,75.0501626
Suame Municipal,0,19.08957416,22.61035122,97.58393619,99.79363754,8.451218575,60.62650714,0.338739479,90.39330628,7.604562738,74.25096411
Old Tafo Municipal,2.801120448,23.85008518,22.11352614,97.60075405,99.77721288,9.335502735,52.01793722,0.38218131,88.53710884,9.409594096,64.5005802
Asokore Mampong Municipal,0,29.32828761,19.23675568,96.97321596,99.42873197,11.09365559,47.2822626,0.798556825,84.25389119,7.578253707,52.38399659
Kwabre East,0,34.54038997,24.87652281,94.2571563,99.60959854,10.90067804,41.95989165,0.476122594,86.94423286,5.890138981,72.43671872
Afigya Kwabre South,0,50,22.1062886,94.36401654,99.16681298,9.051040403,50.00399036,0.231583786,86.72311538,8.490566038,79.4211114
Atwima Nwabiagya North,0,27.48691099,24.06388675,93.55553913,98.98997364,7.732383345,44.42145197,0.272494267,84.65361059,7.379518072,74.08161924
Atwima Nwabiagya South Municipal,0,40.58624577,25.00930277,93.24768054,99.40939242,6.203962876,49.61544395,0.372637743,85.76113952,5.914718019,72.52386069
Atwima Mponua,2.136752137,104.3478261,28.30367445,77.51224924,88.52731811,3.742580787,11.72691134,3.70594424,65.92152044,7.77385159,49.61802155
Ahafo Ano South West,0,101.2269939,29.57014021,58.8308811,90.65500199,2.029746282,14.42367778,0.765830272,66.13784478,7.614213198,42.72264238
Ahafo Ano North Municipal,0,88.3882149,32.44601091,64.86497364,88.46943293,4.038075852,22.37694692,1.680786481,71.32742816,4.012345679,56.56246473
Ahafo Ano South East,4.830917874,121.7105263,30.59362867,63.85490051,92.25064887,4.36770428,11.03695464,1.497765431,66.21368761,4.728132388,45.07976623
Offinso North,3.717472119,100.7905138,25.97143214,69.06816639,85.01890817,3.247120345,13.84175313,1.558007976,58.13613424,4.642857143,32.12187959
Offinso Municipal,0,78.21901324,27.22377932,83.93914023,94.39327886,6.352264079,21.80327396,0.671040412,72.64029671,6.722689076,54.49727438
Afigya Kwabre North,0,56.88622754,28.89416155,84.67354323,92.45018091,7.035128806,19.50639952,0.82566395,76.17570116,5.489260143,55.41834328
Sekyere South,2.688172043,51.09489051,29.30461437,82.42192736,90.49725238,9.815532391,18.50623241,0.950203615,79.63404465,4.337899543,55.92724046
Mampong Municipal,0,59.16473318,25.05250847,84.90201757,90.31438041,3.857383492,26.44399395,0.698206791,76.3043582,6.575963719,57.8328742
Ejura Sekyedumase Municipal,0,77.60814249,24.81096511,80.21811763,91.35094244,5.59092356,14.54958079,3.623290967,62.99492275,6.404494382,25.12358887
Sekyere Central,0,112.9411765,26.40763977,62.216583,79.68224196,2.709742469,11.83869366,4.138471003,62.12873253,5.098039216,39.43462898
Sekyere Afram Plains,0,149.6598639,18.53090841,27.30419177,50.69862838,2.431386996,4.243045763,10.99172666,39.80399548,2.173913043,10.34690799
Aowin Municipal,0,78.43137255,23.28398817,66.74806243,62.00764412,2.825875587,17.16742754,1.645809397,59.99185912,7.922077922,69.00402644
Sefwi Akontombra,5.291005291,90.90909091,26.28557865,69.84509466,71.21629375,2.595480904,8.990246701,1.268824855,60.70218597,4.864864865,68.38933253
Suaman,8.196721311,27.77777778,24.56640104,75.50136048,81.17504787,4.605155147,20.38697974,1.720013669,66.9238813,3.045685279,86.52781439
Bodi,0,108.1081081,26.45466413,75.83928893,84.1330851,3.67814121,8.990451024,0.684547887,65.58882065,9.090909091,76.24905087
Sefwi Wiawso Municipal,0,65.16587678,28.67278682,88.8580998,93.21462133,6.845249566,25.58733524,0.537528495,73.4834156,4.058624577,73.26308634
Bibiani Anhwiaso Bekwai Municipal,0,83.42361863,25.7849587,93.47957902,95.15570185,6.156590756,30.74191173,0.442466559,75.60725598,6.569343066,66.91874887
Juaboso,0,48.09619238,25.31232681,77.64836156,87.67173851,4.894701087,14.27634007,1.132202737,67.19024622,5.714285714,77.19795803
Bia West,0,79.81220657,25.75869819,62.95732191,77.44883389,3.875218994,8.53561796,0.976196371,62.01800535,7.750952986,83.30276832
Bia East,0,124.5551601,29.62399779,54.42107413,70.96181336,2.697064521,5.996868831,1.562852205,62.00442356,3.825136612,77.27786145
Asunafo South,3.225806452,87.1459695,32.99275091,73.64163296,83.28259872,3.725016069,12.50990367,1.614553218,71.74103237,4.23572744,52.08425721
Asunafo North Municipal,0,81.84143223,31.06102357,76.77403961,88.63755667,5.320571196,21.23836793,0.869176379,73.6943871,4.736129905,59.82657002
Asutifi South,0,48.45814978,29.46709134,76.86851862,91.88114556,2.515985544,22.56729891,1.05579768,71.13144225,7.534246575,55.10670732
Asutifi North,0,84.90566038,28.12907182,78.9896959,95.90851973,3.795602506,26.74541342,0.729373322,73.2122327,4.712041885,59.38542825
Tano North Municipal,3.597122302,67.39811912,31.43799236,74.45608069,92.57641921,3.801011483,22.63786374,1.155062566,74.35545476,7.494145199,56.21807684
Tano South Municipal,0,72.72727273,30.43769394,75.46866631,94.9607213,2.88285803,19.6081057,9.587881069,71.26081986,4.056795132,45.71257485
Dormaa West,0,86.2745098,30.02647891,76.9224463,91.82652894,4.278618198,14.05968192,1.670894935,69.17915388,1.593625498,56.23274581
Dormaa Central Municipal,2.824858757,96.55172414,28.55513168,85.98667586,99.00233008,4.889485958,25.97551771,0.537035564,77.21133913,5.801526718,63.20951775
Dormaa East,4.06504065,74.46808511,27.2478237,79.4193513,97.99132869,5.440850687,15.04308216,0.849311543,73.74444512,8.645533141,63.77727615
Sunyani Municipal,0,40.8839779,23.84927326,91.35409482,98.63830088,4.855013195,58.1304048,0.509154753,85.23948216,7.793764988,78.78853434
